user,rojo,crawl,stuber,thefarewell,bethanyhamiton
mixermanagement,0,0,0,0,0
mjubenitez,0,0,0,0,0
mmits,0,0,0,0,0
mo_jasem1,0,0,1,0,0
modernpope,0,0,0,0,0
momgerm,0,0,0,0,0
moodav47,0,0,0,0,0
movienation,0,0,0,0,0
movistararena,0,0,0,0,0
musermama,0,0,0,0,0
nakamura193,0,0,0,0,0
nancyodell,0,0,0,0,0
napstryo,0,0,0,0,0
necrony,0,0,0,0,0
neli_rowland,0,0,0,0,0
newguyreview101,0,0,0,0,0
newlife42652905,0,0,0,0,0
nick_britton32,0,0,0,0,0
nickmo57,0,0,0,0,0
nicolacoughlan,0,0,0,0,0
nottjmiller,0,0,0,0,0
odis85,0,0,0,0,0
oliverdarcy,0,0,0,0,0
omn1media,0,2,3,0,0
onemichile,0,0,0,0,0
orangecassidy,0,0,0,0,0
palladiummag,0,0,0,0,0
patrick_758_,0,0,0,0,0
pcorey79,0,0,0,0,0
pendragon9681,0,0,0,0,0
pest_coach,0,0,0,0,0
pewdiepie,0,0,0,0,0
phantomplanet,0,0,0,0,0
piera42185492,0,0,0,0,0
planetary_union,0,0,0,0,0
podcast_tas,0,0,0,0,0
